0,66,91,157,97,213584
1,68,91,160,97,451287
2,72,92,162,99,625126
3,69,89,157,95,781749
4,69,91,160,99,922197
5,69,92,159,99,1064146
6,69,91,161,97,1159508
7,71,94,161,100,1281474
8,69,92,158,100,1899801
9,71,95,162,100,2102119
10,71,92,161,97,2236786
11,69,92,160,99,2451885
12,67,92,158,99,2586063
13,67,93,157,97,2786305
14,72,97,161,102,2930917
15,70,92,157,99,3054490
16,68,87,153,93,3181279
17,68,87,153,94,3290861
18,67,86,153,90,3386522
19,71,86,154,92,3486465
20,69,84,153,89,3595081
21,75,89,159,94,3696585
22,75,92,162,95,3792665
23,74,92,163,94,3922534
24,76,94,163,94,4185182
25,68,90,146,58,4287313
26,57,63,150,57,4508105
27,35,123,150,92,4628888
28,71,99,150,92,4883833
29,71,100,149,92,4977957
30,73,104,153,95,5229642
31,67,99,143,60,5340477
32,63,73,151,94,5620471
33,62,71,139,61,5706791
34,66,75,150,94,5984421
35,74,102,148,90,6082971
36,75,102,150,94,6175597
37,74,97,157,89,6263408
38,70,92,157,86,6357710
39,70,91,155,88,6474267
40,68,89,153,89,6570094
41,70,87,154,90,6716081
42,72,86,153,90,6842951
43,69,83,151,91,6945953
44,72,84,151,92,7052622
45,69,81,148,90,7155522
46,68,81,146,93,7250683
47,69,79,145,91,7349524
48,67,80,143,91,7442997
49,69,53,139,89,7537856
50,63,77,141,88,7633686
51,66,80,144,90,7720828
52,67,79,145,89,7839571
53,67,79,145,88,7972271
54,66,81,133,85,8400496
55,68,83,136,87,8499391
56,70,83,146,90,8878878
57,68,80,147,87,8999526
58,68,78,146,86,9427612
59,65,77,144,84,9523492
60,67,81,147,87,9932815
61,71,83,153,89,10049019
62,73,84,158,90,10504068
63,75,87,162,94,10598539
64,73,89,166,97,11038164
65,74,95,168,102,11166305
66,76,93,171,100,11265649
67,71,90,161,97,11359797
68,67,88,153,92,11453309
69,69,85,150,89,11555091
70,68,83,148,88,11648862
71,68,86,148,89,11740930
72,68,58,145,86,11829465
73,71,86,145,89,11918897
74,71,89,153,87,12004828
75,68,90,152,90,12100628
76,68,92,153,92,12196364
77,68,90,152,89,12305736
78,69,95,157,92,12965555
79,71,96,160,92,13068820
80,69,95,157,92,13620826
81,71,96,160,94,13743068
82,71,97,161,95,14341204
83,73,95,162,93,14443164
84,75,97,164,94,15060513
85,75,97,166,95,15199567
86,75,98,168,97,15811367
87,75,101,167,97,15912917
88,75,95,168,94,16511195
89,75,97,169,96,16642481
90,76,99,171,97,17276519
91,77,102,173,100,17376351
92,79,102,174,100,18051640
93,80,102,175,102,18182000
94,77,102,172,100,18908346
95,77,100,174,100,19010506
96,79,102,175,102,19754617
97,77,102,173,101,19892842
98,74,99,168,97,20665496
99,75,103,170,100,20773160
100,76,102,173,100,21562071
101,76,103,171,100,21713116
102,76,102,171,100,22406964
103,76,103,171,102,22503780
104,76,102,173,100,23192874
105,76,102,168,101,23311659
106,78,107,159,103,24039175
107,76,104,169,102,24136894
108,74,103,170,102,24893795
109,75,101,171,99,25052510
110,77,104,175,100,25892413
111,77,102,174,101,25998831
112,79,102,176,102,26757354
113,83,103,180,105,26877802
114,78,99,174,102,27642096
115,79,97,174,102,27744872
116,77,94,170,103,28518142
117,79,95,171,105,28643033
118,75,98,169,108,29441823
119,76,98,171,107,29544292
120,78,102,174,105,30356271
121,76,102,173,103,30474140
122,80,102,176,105,30581777
123,77,105,172,107,31590191
124,79,103,174,105,31703458
125,84,109,178,109,32896358
126,79,102,173,102,33012941
127,87,103,178,103,33908686
128,84,102,175,100,34007830
129,85,102,176,102,34859897
130,84,100,178,100,34980511
131,79,101,179,101,35854563
132,82,105,184,105,35958566
133,81,105,185,105,36831574
134,84,107,186,107,36975975
135,78,105,183,105,37901761
136,77,105,182,105,38001469
137,78,107,185,107,38894360
138,77,105,183,105,39021631
139,80,108,183,106,40023807
140,85,112,189,110,40123917
141,81,112,186,108,41096322
142,81,108,185,106,41218696
143,83,110,186,106,42161636
144,78,108,181,106,42263185
145,81,112,184,108,43208836
146,77,109,178,107,43330089
147,79,107,180,105,44304196
148,79,110,181,106,44406793
149,79,108,181,106,45383131
150,78,107,180,105,45503992
151,74,109,175,104,46499876
152,74,107,170,101,47486607
153,70,102,165,97,47611478
154,72,100,164,97,48666811
155,77,104,169,102,48773308
156,76,102,169,99,49787211
157,75,101,165,97,49914548
158,72,99,161,95,50975940
159,67,97,155,93,51083652
160,65,95,156,92,52131494
161,63,93,152,90,52264366
162,63,89,153,88,53351000
163,63,92,151,89,53451656
164,61,89,145,87,54534456
165,55,84,140,81,54648802
166,55,56,139,81,54740336
167,57,84,138,81,54851833
168,27,51,142,81,55962603
169,27,51,139,83,56057653
170,59,88,143,84,57153547
171,61,90,145,89,57265298
172,65,93,153,92,57365824
173,67,93,155,95,57466997
174,72,97,164,97,57566480
175,72,100,171,100,57677259
176,74,103,175,103,58821881
177,76,106,178,104,59971062
178,91,109,175,109,60089980
179,91,111,180,111,61281617
180,86,112,185,111,61381489
181,85,110,189,110,62571379
182,87,113,190,113,62704434
183,88,113,192,115,63939588
184,85,110,191,114,64041986
185,87,111,192,115,65247962
186,86,111,192,115,65384364
187,87,111,196,115,66642575
188,85,111,194,113,66744937
189,91,116,200,120,67981597
190,87,115,200,119,68093937
191,92,116,203,118,68201609
192,92,114,202,116,69499884
193,90,114,203,116,69590759
194,91,114,202,116,70859084
195,86,112,198,114,70981690
196,90,114,200,116,72281580
197,87,111,198,113,72376531
198,89,111,200,113,73678079
199,87,111,196,111,73797568
200,88,112,197,114,75140609
201,85,110,191,114,75238326
202,80,109,185,111,76545289
203,74,104,175,104,76666360
204,70,102,169,102,76768876
205,64,101,160,97,76869378
206,69,99,161,97,76972054
207,65,94,157,92,77069796
208,67,97,156,96,77204597
209,67,95,157,95,77323252
210,66,93,154,93,77436442
211,68,93,156,93,77562203
212,65,92,150,90,79101363
213,63,94,149,90,79205374
214,61,93,148,87,80642995
215,58,90,141,83,80756023
216,63,95,148,87,82215561
217,61,93,180,54,82306718
218,63,97,187,57,83751902
219,67,96,188,57,83862089
220,61,90,147,84,83965069
221,61,91,148,86,85449620
222,64,93,151,87,85547422
223,63,94,149,87,87045356
224,65,98,152,90,87175721
225,65,97,154,90,88763463
226,65,67,151,94,90296787
227,70,98,157,97,90427884
228,73,99,162,99,90535331
229,75,102,169,102,90643809
230,74,102,171,102,90749198
231,74,104,174,104,90858560
232,76,103,177,101,90952615
233,76,105,178,105,91046170
234,79,108,185,110,91143742
235,84,112,191,112,91236579
236,88,112,199,114,91332851
237,89,117,203,121,91431028
238,88,116,204,118,91543123
239,90,115,208,120,93375702
240,93,117,211,121,93477294
